Date,Open,High,Low,Close,Volume
20250102,0.6187,0.6223,0.6184,0.6193,78464
20250103,0.6203,0.6227,0.6199,0.6217,58072
20250106,0.6211,0.6303,0.6211,0.6242,130345
20250107,0.6245,0.6289,0.6229,0.624,98442
20250108,0.6232,0.6243,0.6188,0.6211,90677
20250109,0.6216,0.6216,0.6173,0.6198,56607
20250110,0.6197,0.6207,0.614,0.6149,105156
20250113,0.6147,0.6178,0.6132,0.6156,85329
20250114,0.6187,0.6208,0.6167,0.6187,82077
20250115,0.6196,0.6247,0.6182,0.6229,87858
20250116,0.6227,0.6248,0.6193,0.6213,84414
20250117,0.6212,0.6228,0.6165,0.62,96313
20250121,0.6196,0.629,0.619,0.6267,223560
20250122,0.627,0.6297,0.6254,0.6279,71399
20250123,0.6271,0.63,0.6256,0.6289,78004
20250124,0.6286,0.6331,0.6279,0.6314,103498
20250127,0.6304,0.6308,0.6275,0.6285,82383
20250128,0.6292,0.6294,0.6237,0.6255,99771
20250129,0.6253,0.6256,0.6211,0.6232,97986
20250130,0.6233,0.6244,0.6199,0.6239,94037
20250131,0.6206,0.6264,0.6205,0.6216,127171
20250203,0.6163,0.6238,0.6089,0.6184,241361
20250204,0.6228,0.6264,0.6171,0.626,120068
20250205,0.6255,0.6298,0.6241,0.6286,85235
20250206,0.6284,0.6289,0.6256,0.6282,85255
20250207,0.6283,0.6303,0.6254,0.6274,122088
20250210,0.6252,0.6289,0.6247,0.6281,58471
20250211,0.6281,0.6303,0.6261,0.6295,66450
20250212,0.6296,0.6311,0.6234,0.6287,118692
20250213,0.628,0.6325,0.6255,0.6303,109804
20250214,0.6317,0.6369,0.6312,0.636,88403
20250218,0.6352,0.6375,0.6335,0.635,127554
20250219,0.6353,0.6372,0.6338,0.635,85009
20250220,0.6348,0.6405,0.6329,0.6404,94848
20250221,0.6402,0.641,0.6353,0.6355,98191
20250224,0.6367,0.6393,0.6345,0.6358,98023
20250225,0.6349,0.6358,0.6323,0.6343,90826
20250226,0.6349,0.6354,0.6297,0.6309,103171
20250227,0.6309,0.6315,0.6232,0.6244,112974
20250228,0.6233,0.6239,0.6193,0.6199,110199
20250303,0.6208,0.6256,0.6204,0.6223,149699
20250304,0.622,0.6274,0.6188,0.6247,128250
20250305,0.6271,0.6343,0.6235,0.634,152655
20250306,0.6334,0.6364,0.6323,0.6337,131315
20250307,0.6333,0.6339,0.6283,0.631,112855
20250310,0.6304,0.6332,0.6265,0.627,121660
20250311,0.6279,0.6312,0.626,0.6307,193162
20250312,0.6297,0.6323,0.6277,0.6315,158490
20250313,0.6321,0.6334,0.627,0.6287,104533
20250314,0.6287,0.6336,0.6282,0.6329,79925
20250317,0.633,0.6397,0.6325,0.6395,77697
20250318,0.6389,0.6395,0.6349,0.6365,92230
20250319,0.6364,0.6371,0.6323,0.6362,74636
20250320,0.6362,0.6369,0.6275,0.6306,96920
20250321,0.6306,0.6311,0.6262,0.628,67991
20250324,0.628,0.631,0.6272,0.6288,78922
20250325,0.6291,0.633,0.6282,0.6303,65050
20250326,0.6308,0.6334,0.6283,0.6291,75435
20250327,0.6297,0.6322,0.6282,0.6304,71524
20250328,0.6308,0.6317,0.6284,0.6291,66359
20250331,0.6287,0.6304,0.6223,0.6253,110433
20250401,0.6251,0.6287,0.6236,0.6268,92888
20250402,0.6284,0.6346,0.6261,0.6298,107799
20250403,0.6271,0.6393,0.623,0.6341,162285
20250404,0.6332,0.6336,0.599,0.6022,346365
20250407,0.601,0.6131,0.5934,0.5978,293125
20250408,0.5997,0.6089,0.595,0.5969,177829
20250409,0.5956,0.6181,0.5918,0.6147,231640
20250410,0.6165,0.6253,0.612,0.6237,186466
20250411,0.6234,0.6304,0.6185,0.6287,158780
20250414,0.6301,0.6347,0.628,0.6343,98395
20250415,0.6329,0.6388,0.632,0.6351,90095
20250416,0.6344,0.6396,0.6327,0.6372,90310
20250417,0.6375,0.64,0.6338,0.6395,74967
20250421,0.6384,0.6442,0.6374,0.6418,62969
20250422,0.642,0.6444,0.6365,0.6379,111678
20250423,0.6373,0.6439,0.6352,0.6369,128130
20250424,0.6363,0.6417,0.6347,0.6407,92094
20250425,0.6415,0.6424,0.6378,0.6406,70020
20250428,0.6403,0.6439,0.6371,0.6429,97469
20250429,0.6436,0.6453,0.6379,0.6389,91232
20250430,0.6387,0.6421,0.6359,0.6407,111538
20250501,0.6403,0.643,0.6368,0.6389,83874
20250502,0.6387,0.6473,0.6383,0.6446,131326
20250505,0.6449,0.6497,0.6437,0.6471,93201
20250506,0.6471,0.6505,0.6441,0.6501,84818
20250507,0.6497,0.6519,0.6425,0.6456,105209
20250508,0.6429,0.6467,0.6398,0.64,105844
20250509,0.6404,0.6435,0.6373,0.6416,78343
20250512,0.6425,0.6464,0.6359,0.6371,117963
20250513,0.6373,0.6482,0.6364,0.648,119897
20250514,0.6474,0.6503,0.6425,0.643,114675
20250515,0.643,0.6465,0.6393,0.6407,85405
20250516,0.6408,0.6438,0.639,0.6408,70431
20250519,0.6404,0.6467,0.64,0.6454,83528
20250520,0.646,0.6461,0.6394,0.6417,83600
20250521,0.6425,0.6471,0.642,0.6443,82244
20250522,0.6435,0.6461,0.6409,0.6415,75573
20250523,0.6413,0.6502,0.641,0.6498,101525
