Date,Open,High,Low,Close,Volume
20250102,1.2504,1.2534,1.2346,1.2361,136984
20250103,1.2372,1.2428,1.2369,1.2421,76306
20250106,1.2413,1.2545,1.2411,1.2506,148496
20250107,1.2515,1.257,1.247,1.2485,84387
20250108,1.2471,1.2488,1.2315,1.2351,173733
20250109,1.2356,1.236,1.2234,1.2304,141916
20250110,1.2303,1.2316,1.2187,1.2205,154121
20250113,1.2205,1.2206,1.2095,1.2162,153092
20250114,1.2229,1.2246,1.2133,1.2193,144165
20250115,1.221,1.2303,1.2156,1.2226,162171
20250116,1.2236,1.2257,1.2171,1.2232,104886
20250117,1.2233,1.224,1.2157,1.2164,114399
20250121,1.2167,1.2358,1.2156,1.2324,241547
20250122,1.2353,1.2372,1.2304,1.2322,94474
20250123,1.2315,1.2373,1.229,1.2357,100601
20250124,1.2352,1.2499,1.2345,1.248,128410
20250127,1.247,1.2522,1.2424,1.2488,114184
20250128,1.2497,1.2498,1.2412,1.2442,89647
20250129,1.2437,1.2461,1.2391,1.2442,103054
20250130,1.2447,1.2475,1.2406,1.2458,88959
20250131,1.2416,1.247,1.2385,1.2399,142236
20250203,1.232,1.2455,1.2247,1.2393,202005
20250204,1.2444,1.2492,1.2378,1.2481,99369
20250205,1.2481,1.2548,1.2463,1.2505,89709
20250206,1.2505,1.2509,1.2359,1.2436,138264
20250207,1.2434,1.2494,1.2375,1.2412,117072
20250210,1.2389,1.2421,1.2361,1.2365,55132
20250211,1.2366,1.2454,1.2332,1.2438,81590
20250212,1.2445,1.2482,1.2376,1.2445,117782
20250213,1.2441,1.2567,1.2441,1.2537,144355
20250214,1.2562,1.263,1.2549,1.2595,91806
20250218,1.2588,1.2634,1.2577,1.2596,120822
20250219,1.2629,1.2638,1.2563,1.2583,71331
20250220,1.2585,1.2671,1.2578,1.2669,82859
20250221,1.2666,1.2678,1.2624,1.2631,89042
20250224,1.264,1.2691,1.2611,1.2632,82168
20250225,1.2629,1.2678,1.2606,1.2669,76645
20250226,1.2666,1.2715,1.2634,1.2684,98420
20250227,1.2675,1.2689,1.2597,1.2608,106609
20250228,1.2594,1.2622,1.2559,1.2572,122928
20250303,1.2582,1.2725,1.2582,1.269,145061
20250304,1.2707,1.28,1.2678,1.2788,150852
20250305,1.279,1.2901,1.2768,1.2897,182872
20250306,1.2895,1.2924,1.2866,1.2895,178634
20250307,1.2882,1.2944,1.2877,1.292,112206
20250310,1.2923,1.2946,1.2861,1.2869,124934
20250311,1.2874,1.2966,1.2872,1.2961,151154
20250312,1.295,1.3,1.2914,1.2967,155817
20250313,1.2966,1.2973,1.2921,1.2951,131998
20250314,1.2944,1.2958,1.2909,1.2931,101086
20250317,1.2923,1.2997,1.2923,1.2997,56747
20250318,1.2993,1.3009,1.295,1.3003,78605
20250319,1.3003,1.301,1.2954,1.3007,80720
20250320,1.3,1.3013,1.2934,1.2959,78831
20250321,1.2963,1.2968,1.2886,1.2925,90966
