Date,Open,High,Low,Close,Volume
20250102,0.6973,0.6979,0.69435,0.69555,80658
20250103,0.69605,0.6971,0.6932,0.69395,65410
20250106,0.69405,0.7021,0.69385,0.6993,170716
20250107,0.6996,0.7012,0.69765,0.6988,107640
20250108,0.69785,0.6991,0.69575,0.6968,89855
20250109,0.6974,0.69785,0.69595,0.69655,42228
20250110,0.6964,0.6973,0.6941,0.6948,92068
20250113,0.69515,0.69725,0.69385,0.6955,76013
20250114,0.69765,0.6988,0.69555,0.69775,82626
20250115,0.6985,0.7008,0.69765,0.69955,97484
20250116,0.699,0.6998,0.6959,0.6963,100446
20250117,0.6961,0.6968,0.6918,0.69305,114744
20250121,0.6922,0.70275,0.6903,0.69915,298265
20250122,0.69935,0.7008,0.69635,0.6974,72393
20250123,0.697,0.6991,0.6953,0.6978,97453
20250124,0.69685,0.69995,0.69665,0.69865,73678
20250127,0.6973,0.69905,0.69575,0.69695,81305
20250128,0.6975,0.6975,0.6948,0.69605,90126
20250129,0.69575,0.6962,0.6923,0.69485,130300
20250130,0.69485,0.69615,0.6864,0.6951,146721
20250131,0.6918,0.69715,0.688,0.69045,292638
20250203,0.68095,0.69625,0.6772,0.6874,346129
20250204,0.6953,0.7005,0.6907,0.70035,181940
20250205,0.6993,0.7021,0.6983,0.69975,113433
20250206,0.7,0.7004,0.69725,0.6996,70006
20250207,0.70015,0.7017,0.69815,0.70115,116379
20250210,0.69805,0.7001,0.6974,0.69995,66667
20250211,0.6991,0.70135,0.69805,0.7006,63280
20250212,0.701,0.7025,0.6982,0.70105,100962
20250213,0.69995,0.706,0.69995,0.70365,127170
20250214,0.70565,0.7075,0.70505,0.7071,86929
20250218,0.70615,0.70705,0.70435,0.70565,91511
20250219,0.7055,0.70625,0.70275,0.7035,71332
20250220,0.70345,0.70665,0.7028,0.70625,64931
20250221,0.70605,0.7065,0.7031,0.70345,65980
20250224,0.7036,0.7058,0.7015,0.70345,90253
20250225,0.70195,0.70285,0.699,0.6998,101659
20250226,0.6993,0.7002,0.69655,0.69825,134923
20250227,0.69775,0.69875,0.6926,0.693,133358
20250228,0.6931,0.69495,0.6914,0.69205,122277
20250303,0.6926,0.69635,0.6881,0.69005,220754
20250304,0.6907,0.69625,0.688,0.69065,215178
20250305,0.69515,0.6982,0.69245,0.698,193997
20250306,0.69775,0.7027,0.69595,0.6996,137522
20250307,0.6999,0.70055,0.6934,0.69635,141902
20250310,0.69595,0.69695,0.69125,0.69165,113816
20250311,0.6928,0.6957,0.68885,0.6946,255083
20250312,0.693,0.69685,0.6906,0.6964,169626
20250313,0.6962,0.69655,0.6921,0.69345,174708
20250314,0.69575,0.6997,0.6955,0.69875,95422
20250317,0.69915,0.7036,0.69845,0.7033,61915
20250318,0.70295,0.70555,0.7014,0.70225,67463
20250319,0.7025,0.70255,0.6999,0.70185,57740
20250320,0.7011,0.7017,0.69735,0.70095,58829
20250321,0.70105,0.70155,0.69865,0.69995,48747
20250324,0.7002,0.70275,0.69975,0.7015,55838
20250325,0.70135,0.7036,0.70055,0.70225,52489
20250326,0.70325,0.7053,0.70225,0.70275,60511
20250327,0.70205,0.7041,0.7007,0.70115,80732
20250328,0.7018,0.7032,0.7004,0.70125,74861
20250331,0.7012,0.70205,0.69725,0.6983,80933
20250401,0.6977,0.70205,0.69635,0.7002,94856
20250402,0.7019,0.70565,0.6986,0.70075,104854
20250403,0.70475,0.71565,0.70095,0.71275,176908
20250404,0.71225,0.7141,0.7038,0.70495,221286
20250407,0.7044,0.7078,0.70195,0.70665,151259
20250408,0.7047,0.70955,0.70315,0.70485,105973
20250409,0.70395,0.71305,0.703,0.71095,154643
20250410,0.7125,0.71925,0.71115,0.7175,120263
20250411,0.71765,0.725,0.7175,0.7224,141552
20250414,0.72355,0.7255,0.7213,0.72375,79984
20250415,0.723,0.72445,0.71785,0.7184,90223
20250416,0.7187,0.724,0.71835,0.72285,70817
20250417,0.72355,0.7253,0.72125,0.7247,62011
20250421,0.7251,0.72775,0.72415,0.7248,59747
20250422,0.7248,0.7271,0.7235,0.72595,65600
20250423,0.7254,0.7268,0.7212,0.7221,73984
20250424,0.7223,0.72455,0.72145,0.7234,60129
20250425,0.7239,0.7241,0.72165,0.72345,48348
20250428,0.7236,0.7256,0.7216,0.72415,48287
20250429,0.72455,0.726,0.7227,0.724,48768
20250430,0.7247,0.72805,0.72345,0.72715,69476
20250501,0.7266,0.7272,0.7231,0.7239,68179
20250502,0.72345,0.72835,0.72335,0.72555,68595
20250505,0.7252,0.72695,0.72465,0.72545,47174
20250506,0.725,0.7288,0.7238,0.7276,60218
20250507,0.72755,0.72805,0.72405,0.7259,62139
20250508,0.7242,0.72535,0.71915,0.7194,82866
20250509,0.71975,0.7204,0.71845,0.71925,56492
20250512,0.71925,0.71995,0.71475,0.71585,77467
20250513,0.7166,0.7191,0.7147,0.7186,77554
20250514,0.71885,0.72055,0.7162,0.71675,64896
20250515,0.7166,0.71775,0.71525,0.7172,57501
20250516,0.7174,0.71865,0.71555,0.7161,45573
20250519,0.717,0.71955,0.71665,0.71745,39771
20250520,0.71785,0.72,0.71685,0.7189,61848
20250521,0.7197,0.72485,0.71965,0.7235,72950
20250522,0.72245,0.7231,0.7209,0.72205,60021
20250523,0.7224,0.73025,0.72225,0.7296,96634
