Date,Open,High,Low,Close,Volume
20030630,0.7385,0.7396,0.7307,0.7374,5781
20030701,0.739,0.7415,0.7352,0.7364,15665
20030702,0.7362,0.7457,0.7356,0.7445,20649
20030703,0.7445,0.7457,0.7405,0.7448,6710
20030707,0.743,0.7445,0.7367,0.739,19085
20030708,0.7386,0.7395,0.7262,0.7288,28520
20030709,0.7297,0.732,0.7231,0.7254,34655
20030710,0.7247,0.7255,0.7173,0.7203,7716
20030711,0.72,0.7255,0.7183,0.7238,5134
20030714,0.7237,0.7265,0.7206,0.7248,15595
20030715,0.7251,0.7257,0.7136,0.7154,25645
20030716,0.7156,0.7201,0.7132,0.7194,34949
20030717,0.7179,0.7191,0.7112,0.7141,44046
20030718,0.7139,0.7139,0.7051,0.7087,6422
20030721,0.7082,0.7108,0.7056,0.7101,14804
20030722,0.7091,0.7118,0.7031,0.7037,26129
20030723,0.7042,0.7157,0.7027,0.7131,4952
20030724,0.7138,0.7169,0.7125,0.7134,14564
20030725,0.7151,0.7237,0.7139,0.7228,22389
20030728,0.722,0.7242,0.7191,0.7193,26469
20030729,0.7202,0.723,0.7192,0.7197,34624
20030730,0.7185,0.7189,0.711,0.7125,40621
20030731,0.712,0.7125,0.7072,0.7088,49106
20030801,0.7096,0.717,0.7076,0.7132,53478
20030804,0.7142,0.7149,0.7089,0.7103,58761
20030805,0.7107,0.7133,0.7068,0.7113,5968
20030806,0.7137,0.7142,0.7092,0.7107,15256
20030807,0.7104,0.7172,0.7095,0.7161,21222
20030808,0.7168,0.7182,0.7136,0.7163,9037
20030811,0.7172,0.7253,0.713,0.7237,15073
20030812,0.7227,0.7239,0.7202,0.7223,21111
20030813,0.7208,0.7242,0.718,0.7237,31737
20030814,0.7235,0.7247,0.7144,0.7163,34405
20030815,0.7155,0.7215,0.7151,0.7204,40614
20030818,0.7202,0.7213,0.7162,0.7184,47502
20030819,0.7176,0.7178,0.7117,0.7144,56976
20030820,0.7155,0.7169,0.7091,0.7119,62647
20030821,0.7121,0.7126,0.7078,0.7095,72078
20030822,0.7101,0.7132,0.7049,0.7118,4284
20030825,0.7126,0.7153,0.7119,0.7137,12152
20030826,0.7131,0.7181,0.7112,0.7174,20297
20030827,0.7164,0.7164,0.7103,0.7119,27115
20030828,0.7125,0.7168,0.7094,0.7157,8440
20030829,0.717,0.7219,0.7131,0.7213,7082
20030902,0.7246,0.7263,0.7166,0.7186,10189
20030903,0.7166,0.7254,0.715,0.7247,18323
20030904,0.7246,0.7296,0.7217,0.7279,6084
20030905,0.7281,0.7323,0.7272,0.7296,8709
20030908,0.7315,0.7321,0.7258,0.7289,11203
20030909,0.7274,0.7338,0.7274,0.7312,12699
20030910,0.7308,0.7334,0.729,0.732,14544
20030911,0.7307,0.7323,0.7273,0.7289,15245
20030912,0.7267,0.7316,0.7246,0.7302,15319
20030915,0.7295,0.7305,0.7258,0.7295,20062
20030916,0.7286,0.7303,0.726,0.7268,26496
20030917,0.7275,0.7302,0.7247,0.7299,35861
20030918,0.729,0.7327,0.7278,0.7315,7477
20030919,0.7313,0.7399,0.731,0.7379,7477
20030922,0.7416,0.7451,0.7377,0.7411,9998
20030923,0.7364,0.7402,0.7332,0.7347,6391
20030924,0.7347,0.7388,0.7332,0.7376,7108
20030925,0.7381,0.7409,0.737,0.7376,5792
20030926,0.739,0.739,0.7334,0.7361,4354
20030929,0.7359,0.7375,0.7306,0.7367,9443
20030930,0.7377,0.7422,0.7351,0.7377,8441
20031001,0.7375,0.7414,0.7372,0.74,5730
20031002,0.7414,0.7453,0.7372,0.7435,10621
20031003,0.7439,0.7455,0.7393,0.7409,8599
20031006,0.7408,0.7445,0.7396,0.7429,6264
20031007,0.7438,0.7511,0.7431,0.7494,10115
20031008,0.7488,0.7517,0.7467,0.7479,6211
20031009,0.748,0.7508,0.7428,0.7452,9239
20031010,0.745,0.7569,0.7439,0.755,9267
20031013,0.7559,0.7559,0.7518,0.755,3513
20031014,0.7553,0.7553,0.749,0.7534,6571
20031015,0.7531,0.7543,0.749,0.752,6040
20031016,0.7508,0.7598,0.7496,0.7574,10707
20031017,0.7562,0.7605,0.7537,0.759,7854
20031020,0.7586,0.7588,0.7539,0.755,6271
20031021,0.7545,0.7597,0.7524,0.7572,9246
20031022,0.7579,0.7662,0.7566,0.7646,8817
20031023,0.7652,0.7661,0.7604,0.7623,10680
20031024,0.7636,0.7658,0.7621,0.7633,5823
20031027,0.7633,0.7643,0.7595,0.7606,6008
20031028,0.7613,0.7634,0.7576,0.7617,9716
20031029,0.762,0.7639,0.7596,0.7606,6858
20031030,0.7606,0.7645,0.7582,0.7591,7919
20031031,0.7592,0.7594,0.7543,0.7568,7710
20031103,0.756,0.7562,0.7458,0.7483,13137
20031104,0.7477,0.7513,0.743,0.7507,8422
20031105,0.7513,0.7516,0.7472,0.7499,5929
20031106,0.748,0.7497,0.7442,0.7455,9636
20031107,0.7449,0.7554,0.7439,0.7541,14260
20031110,0.7541,0.7628,0.7536,0.7613,7050
20031111,0.7599,0.7613,0.7589,0.7613,1439
20031112,0.7609,0.7692,0.76,0.7663,9839
20031113,0.7655,0.771,0.765,0.7673,7472
20031114,0.7688,0.7703,0.7654,0.7667,5981
20031117,0.767,0.7684,0.7591,0.7608,12043
20031118,0.7613,0.7701,0.758,0.7688,12571
20031119,0.7679,0.7695,0.764,0.7648,8447
20031120,0.7659,0.7691,0.7645,0.7668,5989
20031121,0.7665,0.768,0.7623,0.7665,7938
20031124,0.7662,0.7677,0.7554,0.7565,13860
20031125,0.7576,0.7631,0.7571,0.761,8609
20031126,0.7625,0.7684,0.7612,0.766,1
20031128,0.7644,0.7726,0.7626,0.7703,6571
20031201,0.7703,0.7703,0.766,0.7667,8254
20031202,0.7669,0.7714,0.7638,0.7693,12347
20031203,0.7707,0.772,0.7676,0.7685,6991
20031204,0.7684,0.7688,0.7601,0.7614,16028
20031205,0.762,0.7678,0.7603,0.7656,8262
20031208,0.7656,0.7717,0.7654,0.7698,6408
20031209,0.7698,0.7711,0.761,0.7633,3453
20031210,0.7646,0.7659,0.7614,0.765,1254
20031211,0.7645,0.7645,0.7515,0.759,2182
20031212,0.756,0.7604,0.7541,0.7561,8845
20031215,0.752,0.7603,0.7513,0.7579,10326
20031216,0.7588,0.7588,0.7492,0.7511,13306
20031217,0.7512,0.7526,0.7454,0.7513,9751
20031218,0.751,0.7532,0.7471,0.7483,7871
20031219,0.7493,0.7496,0.7422,0.7448,12443
20031222,0.7452,0.7499,0.7446,0.7479,6136
20031223,0.7482,0.7553,0.7481,0.7541,6944
20031224,0.7537,0.7628,0.7534,0.7623,5352
20031226,0.7607,0.7644,0.7603,0.7622,2293
20031229,0.7609,0.7636,0.7578,0.7604,7773
20031230,0.7614,0.7722,0.759,0.7703,10385
20031231,0.7706,0.7772,0.7667,0.7694,9409
20040102,0.771,0.775,0.7697,0.7737,7187
20040105,0.7745,0.7805,0.7732,0.7775,8937
20040106,0.7781,0.781,0.7748,0.7765,8269
20040107,0.7755,0.7765,0.7715,0.7731,7743
20040108,0.773,0.7817,0.7699,0.7783,13298
20040109,0.7802,0.7863,0.7772,0.784,12105
20040112,0.7844,0.7862,0.7809,0.7823,7033
20040113,0.7815,0.7859,0.7799,0.7842,8609
20040114,0.7841,0.785,0.7722,0.7743,16742
20040115,0.7729,0.7748,0.7676,0.7705,7973
20040116,0.7716,0.7717,0.7658,0.7678,7973
20040120,0.7665,0.7762,0.7648,0.7726,15729
20040121,0.7728,0.7754,0.7648,0.7679,14546
20040122,0.7672,0.7718,0.7641,0.7704,9192
20040123,0.7697,0.7711,0.756,0.7575,15024
20040126,0.7594,0.7628,0.7581,0.7598,8636
20040127,0.76,0.7655,0.7583,0.7646,11205
20040128,0.7648,0.7648,0.7517,0.7537,16262
20040129,0.7521,0.7534,0.7469,0.7495,12256
20040130,0.7506,0.7545,0.7471,0.7533,10807
20040202,0.7532,0.7538,0.7432,0.7458,13564
20040203,0.7462,0.7519,0.7457,0.747,8554
20040204,0.7466,0.7499,0.7431,0.7485,9936
20040205,0.7482,0.7514,0.745,0.7467,11366
20040206,0.7467,0.7545,0.7445,0.7512,12756
20040209,0.753,0.7554,0.75,0.7512,10674
20040210,0.7516,0.7555,0.7489,0.7503,13811
20040211,0.7498,0.7611,0.7477,0.7593,14309
20040212,0.7601,0.7601,0.7556,0.7572,9964
20040213,0.7575,0.7644,0.7547,0.7597,5001
20040217,0.7585,0.7638,0.757,0.7626,5001
20040218,0.7628,0.7632,0.7527,0.7538,13459
20040219,0.755,0.7557,0.7483,0.7522,10458
20040220,0.7515,0.7523,0.7394,0.7469,13450
20040223,0.7467,0.7488,0.7437,0.7476,6657
20040224,0.7491,0.7534,0.7458,0.7514,10245
20040225,0.7516,0.7545,0.7454,0.7485,8628
20040226,0.7489,0.7489,0.7411,0.7444,9262
20040227,0.7452,0.7494,0.7402,0.7476,12461
20040301,0.7481,0.7498,0.7454,0.746,8933
20040302,0.7474,0.7476,0.7428,0.7452,14009
20040303,0.7441,0.748,0.7356,0.7469,16006
20040304,0.7461,0.7508,0.7443,0.75,11179
20040305,0.7499,0.7598,0.7479,0.756,13172
20040308,0.757,0.7597,0.7529,0.7565,8958
20040309,0.7579,0.7588,0.7535,0.7552,2011
20040310,0.7552,0.7576,0.7514,0.7558,2315
20040311,0.7556,0.7583,0.752,0.7575,693
20040312,0.7565,0.7573,0.7448,0.7467,14063
20040315,0.7466,0.7513,0.7465,0.7492,7374
20040316,0.7477,0.7529,0.7468,0.7472,9529
20040317,0.7476,0.7495,0.7418,0.745,8548
20040318,0.7451,0.754,0.743,0.7503,12337
20040319,0.7514,0.7522,0.7475,0.7502,6725
20040322,0.7482,0.7534,0.7469,0.7488,8174
20040323,0.7481,0.751,0.747,0.7488,4620
20040324,0.7491,0.7498,0.7425,0.743,9642
20040325,0.7438,0.7524,0.7427,0.7504,11066
20040326,0.7497,0.7579,0.7491,0.7565,12417
20040329,0.757,0.7644,0.7549,0.7621,10541
20040330,0.762,0.7642,0.7615,0.763,7949
20040331,0.7638,0.7669,0.7583,0.7611,11640
20040401,0.7619,0.7644,0.7563,0.7636,11764
20040402,0.763,0.7653,0.7564,0.7596,8942
20040405,0.7599,0.7617,0.7573,0.7602,8678
20040406,0.7591,0.7655,0.757,0.7628,10481
20040407,0.7621,0.7643,0.7576,0.7618,12164
20040408,0.7618,0.7628,0.7505,0.7518,12902
20040412,0.7514,0.7527,0.7445,0.7458,8901
20040413,0.7474,0.7494,0.744,0.7486,11516
20040414,0.7478,0.7487,0.7395,0.7416,15036
20040415,0.7416,0.7447,0.7397,0.7433,7275
20040416,0.7433,0.745,0.7402,0.7411,8349
20040419,0.7415,0.7436,0.7404,0.7423,6024
20040420,0.7421,0.7421,0.7351,0.7373,10066
20040421,0.7357,0.738,0.7322,0.7344,11751
20040422,0.7346,0.7374,0.7314,0.7358,8108
20040423,0.7371,0.7389,0.7324,0.734,9963
20040426,0.733,0.7412,0.7328,0.7397,8478
20040427,0.7399,0.7415,0.737,0.7388,9128
20040428,0.7389,0.7401,0.7258,0.7293,17597
20040429,0.7268,0.7308,0.7256,0.7289,9739
20040430,0.729,0.7299,0.7239,0.7284,12093
20040503,0.7277,0.7291,0.7254,0.7277,5569
20040504,0.7279,0.7328,0.7272,0.7283,11803
20040505,0.7288,0.7303,0.7243,0.7266,11054
20040506,0.727,0.729,0.7232,0.725,8804
20040507,0.7245,0.7272,0.7202,0.7221,12841
20040510,0.7214,0.7216,0.7155,0.7187,8244
20040511,0.718,0.7215,0.7167,0.7197,5274
20040512,0.7207,0.7224,0.7181,0.7193,5358
20040513,0.7197,0.721,0.7142,0.7179,12714
20040514,0.717,0.7197,0.7151,0.7188,8784
20040517,0.718,0.7269,0.7138,0.7141,20401
20040518,0.7148,0.7196,0.7136,0.7183,10587
20040519,0.7184,0.7271,0.718,0.7258,8206
20040520,0.7262,0.7312,0.7231,0.7304,9607
20040521,0.7306,0.7311,0.7267,0.727,7890
20040524,0.7278,0.7322,0.7255,0.7287,7959
20040525,0.7299,0.7326,0.7251,0.7282,9190
20040526,0.7289,0.7334,0.7279,0.7295,10585
20040527,0.7296,0.7373,0.7286,0.7359,9596
20040528,0.7361,0.7371,0.7312,0.7325,9321
20040531,0.734,0.7354,0.7326,0.734,1
20040601,0.734,0.7354,0.7283,0.7307,12733
20040602,0.7312,0.7356,0.7304,0.7341,11059
20040603,0.734,0.7367,0.7323,0.7341,8881
20040604,0.734,0.7416,0.732,0.7406,18437
20040607,0.741,0.7441,0.7398,0.7427,6233
20040608,0.7414,0.7468,0.7407,0.7418,5732
20040609,0.7414,0.7429,0.7336,0.7359,3126
20040610,0.7353,0.7375,0.7339,0.735,1
20040611,0.7342,0.7346,0.7286,0.7338,2000
20040614,0.731,0.7325,0.7257,0.7267,9200
20040615,0.7261,0.7305,0.7225,0.7289,13848
20040616,0.729,0.7308,0.7243,0.7256,11188
20040617,0.727,0.7297,0.7241,0.7268,9979
20040618,0.7266,0.733,0.725,0.7325,11626
20040621,0.733,0.7342,0.73,0.7316,5711
20040622,0.7319,0.7364,0.7305,0.7355,9093
20040623,0.7354,0.7375,0.7325,0.7337,10440
20040624,0.7345,0.7448,0.7332,0.7426,13735
20040625,0.7424,0.7424,0.7392,0.7401,7668
20040628,0.7401,0.744,0.738,0.7428,8416
20040629,0.741,0.7466,0.74,0.7428,11486
20040630,0.7424,0.7499,0.7398,0.7494,15314
20040701,0.7493,0.7535,0.7476,0.7506,9274
20040702,0.7499,0.7551,0.7478,0.7548,11023
20040705,0.7548,0.7564,0.753,0.7533,727
20040706,0.7534,0.7571,0.7519,0.7537,8580
20040707,0.7527,0.758,0.7523,0.7555,9302
20040708,0.7556,0.7592,0.7527,0.7591,10564
20040709,0.7586,0.7603,0.7552,0.757,8930
20040712,0.758,0.7597,0.7561,0.7575,6076
20040713,0.7583,0.7589,0.7508,0.7587,15136
20040714,0.7579,0.7589,0.755,0.7562,9686
20040715,0.7548,0.7557,0.7525,0.7541,6818
20040716,0.7549,0.7655,0.754,0.7633,15926
20040719,0.7625,0.7652,0.7616,0.7634,7451
20040720,0.764,0.7644,0.7584,0.7608,10503
20040721,0.761,0.7617,0.7528,0.7546,13530
20040722,0.756,0.7616,0.7535,0.7584,12154
20040723,0.7585,0.7593,0.755,0.7562,9184
20040726,0.7562,0.7596,0.7487,0.7507,12583
20040727,0.7504,0.7531,0.7465,0.7494,11781
20040728,0.75,0.7536,0.7467,0.7522,15784
20040729,0.7519,0.755,0.7474,0.7534,16474
20040730,0.7539,0.7579,0.75,0.7508,15564
20040802,0.7521,0.7539,0.7497,0.7508,6971
20040803,0.7502,0.7595,0.7488,0.7591,13953
20040804,0.7582,0.7615,0.7553,0.7604,11931
20040805,0.759,0.7608,0.7563,0.7585,8413
20040806,0.7582,0.7645,0.7555,0.7616,13264
20040809,0.7623,0.7625,0.7582,0.7591,7226
20040810,0.7584,0.7613,0.7558,0.7574,14283
20040811,0.757,0.7575,0.7536,0.7542,12714
20040812,0.7546,0.7564,0.7496,0.7507,13235
20040813,0.751,0.7644,0.7502,0.7638,20192
20040816,0.7638,0.7665,0.7615,0.765,14475
20040817,0.765,0.7682,0.7634,0.7655,10215
20040818,0.7647,0.7678,0.7623,0.7654,10072
20040819,0.7665,0.7716,0.766,0.7707,13211
20040820,0.771,0.7715,0.7686,0.7707,8285
20040823,0.7698,0.7704,0.7639,0.7643,13135
20040824,0.7643,0.7686,0.7634,0.765,18147
20040825,0.7646,0.7679,0.7611,0.7656,17516
20040826,0.7663,0.7669,0.76,0.7641,16855
20040827,0.7648,0.766,0.7603,0.7612,9834
20040830,0.7612,0.7615,0.7576,0.7578,8559
20040831,0.7588,0.763,0.7546,0.7619,23739
20040901,0.7617,0.7659,0.7595,0.7656,12973
20040902,0.7645,0.7701,0.7639,0.7693,12865
20040903,0.7692,0.7712,0.7665,0.7692,14851
20040906,0.7688,0.7709,0.7684,0.7704,1103
20040907,0.7693,0.7777,0.7684,0.777,9971
20040908,0.7769,0.7769,0.7725,0.7753,5954
20040909,0.7745,0.7778,0.7734,0.7768,5408
20040910,0.7754,0.7775,0.7719,0.7744,12637
20040913,0.7742,0.7748,0.7671,0.768,12535
20040914,0.7673,0.7735,0.767,0.7723,18211
20040915,0.772,0.7721,0.7661,0.7699,17939
20040916,0.7699,0.7753,0.7695,0.7735,18154
20040917,0.774,0.7748,0.7649,0.7696,23461
20040920,0.774,0.774,0.7668,0.7714,15315
20040921,0.7717,0.7767,0.7707,0.7753,16626
20040922,0.776,0.7794,0.7747,0.7776,19193
20040923,0.7785,0.7825,0.7775,0.7801,16643
20040924,0.7803,0.7852,0.7793,0.7834,18661
20040927,0.7836,0.7858,0.7817,0.7847,10593
20040928,0.7852,0.787,0.7823,0.7855,15368
20040929,0.7857,0.7879,0.7847,0.7855,14364
20040930,0.7861,0.7934,0.7841,0.792,19830
20041001,0.7924,0.7929,0.7899,0.7913,10157
20041004,0.7913,0.7915,0.7831,0.7853,18676
20041005,0.7851,0.7927,0.7841,0.7923,16854
20041006,0.792,0.7944,0.7888,0.793,19597
20041007,0.7931,0.7977,0.7911,0.7929,13855
20041008,0.7925,0.7994,0.7912,0.7984,15352
20041011,0.7983,0.7986,0.7954,0.7984,5226
20041012,0.7965,0.7971,0.7929,0.7949,12430
20041013,0.7955,0.7959,0.7872,0.7946,24482
20041014,0.7949,0.7988,0.7932,0.7964,17114
20041015,0.7952,0.7988,0.7914,0.7977,24887
20041018,0.797,0.7984,0.794,0.7953,14049
20041019,0.795,0.7974,0.7917,0.7946,29023
20041020,0.7938,0.8045,0.7936,0.8023,25129
20041021,0.8023,0.8053,0.8001,0.8038,21462
20041022,0.8035,0.8104,0.8027,0.8092,20302
20041025,0.811,0.8209,0.8105,0.8185,27252
20041026,0.8182,0.8202,0.8138,0.8154,18332
20041027,0.8158,0.8211,0.813,0.8146,22314
20041028,0.8149,0.8218,0.8087,0.8163,33371
20041029,0.8173,0.8211,0.8155,0.8195,22699
20041101,0.8207,0.8207,0.8155,0.8182,17088
20041102,0.8175,0.818,0.8139,0.8149,12855
20041103,0.8161,0.8279,0.8137,0.827,29157
20041104,0.8274,0.8306,0.8262,0.8276,21774
20041105,0.828,0.8356,0.8243,0.8329,33181
20041108,0.836,0.8398,0.8345,0.8378,19368
20041109,0.837,0.8387,0.8322,0.8334,18267
20041110,0.8329,0.838,0.8306,0.8365,26030
20041111,0.8361,0.8365,0.8333,0.8365,7531
20041112,0.8357,0.8392,0.8341,0.8381,17945
20041115,0.8377,0.8384,0.8297,0.8324,19108
20041116,0.8329,0.8392,0.8312,0.8369,16202
20041117,0.8367,0.8418,0.8361,0.8368,16731
20041118,0.8371,0.8398,0.8268,0.8295,24781
20041119,0.829,0.8397,0.8282,0.8376,26638
20041122,0.8375,0.8454,0.835,0.843,18581
20041123,0.8429,0.8448,0.8393,0.8424,13079
20041124,0.8424,0.8486,0.8423,0.848,11502
20041125,0.8483,0.8509,0.8462,0.848,1
20041126,0.8483,0.853,0.8459,0.8492,11305
20041129,0.849,0.849,0.8418,0.8436,16850
20041130,0.8433,0.8446,0.8385,0.8429,22902
20041201,0.8421,0.8467,0.8386,0.8445,22665
20041202,0.8447,0.8475,0.8367,0.8383,32415
20041203,0.8364,0.8408,0.8325,0.8378,32088
20041206,0.8394,0.8399,0.8308,0.8322,20237
20041207,0.8337,0.8383,0.8247,0.8282,25071
20041208,0.8275,0.828,0.8103,0.8207,17841
20041209,0.8222,0.823,0.8143,0.8181,7109
20041210,0.8174,0.8178,0.8102,0.8158,25716
20041213,0.8146,0.8202,0.8105,0.8145,20711
20041214,0.8144,0.815,0.8057,0.8097,19634
20041215,0.8081,0.8181,0.8072,0.8153,20738
20041216,0.8162,0.8172,0.8068,0.8095,24482
20041217,0.8102,0.8171,0.8081,0.8148,21307
20041220,0.8145,0.8168,0.8115,0.8132,10441
20041221,0.8142,0.8179,0.8116,0.8126,14205
20041222,0.8129,0.8148,0.8018,0.8064,21446
20041223,0.805,0.8121,0.8045,0.8109,13960
20041227,0.8118,0.8238,0.8106,0.8198,14976
20041228,0.8203,0.8237,0.8177,0.8219,11470
20041229,0.8219,0.8264,0.8188,0.8234,19675
20041230,0.8259,0.8323,0.8242,0.8305,14865
20041231,0.83,0.8352,0.8273,0.8322,11423
20050103,0.8318,0.8326,0.8245,0.8282,21446
20050104,0.8274,0.829,0.8148,0.8174,33004
20050105,0.8174,0.8188,0.811,0.8156,23597
20050106,0.8156,0.8169,0.8066,0.8092,17829
20050107,0.8095,0.8176,0.8053,0.8112,29517
20050110,0.8111,0.8208,0.8101,0.8184,18269
20050111,0.8179,0.8236,0.8172,0.8209,17912
20050112,0.8205,0.8369,0.8184,0.8332,30337
20050113,0.8322,0.8336,0.8292,0.8318,18120
20050114,0.8316,0.8318,0.8186,0.8193,30181
