Date,Open,High,Low,Close,Volume
20030630,1.1406,1.1494,1.1376,1.1469,26050
20030701,1.1485,1.1585,1.1484,1.1536,42803
20030702,1.154,1.1545,1.1482,1.1519,65512
20030703,1.1517,1.1517,1.141,1.1461,26791
20030707,1.1457,1.1457,1.1291,1.13,50143
20030708,1.1295,1.133,1.1236,1.1281,67109
20030709,1.1299,1.1344,1.1285,1.1317,22017
20030710,1.1331,1.1371,1.1289,1.1366,40103
20030711,1.1355,1.1368,1.1252,1.1291,15743
20030714,1.1271,1.1289,1.1221,1.126,34933
20030715,1.1258,1.1317,1.1135,1.1175,66085
20030716,1.1156,1.1214,1.1093,1.1191,92338
20030717,1.12,1.1232,1.1137,1.1194,119953
20030718,1.1194,1.1288,1.1154,1.1269,23953
20030721,1.1239,1.1339,1.1226,1.1326,20493
20030722,1.1326,1.1355,1.129,1.1312,49717
20030723,1.1315,1.1473,1.13,1.1445,75073
20030724,1.1468,1.1495,1.1408,1.1449,99246
20030725,1.1461,1.1534,1.1429,1.1492,120309
20030728,1.1486,1.1504,1.1437,1.1487,30970
20030729,1.1475,1.1525,1.1415,1.1447,28061
20030730,1.1425,1.1435,1.132,1.1344,27978
20030731,1.1341,1.1348,1.121,1.1226,28375
20030801,1.1219,1.1262,1.1121,1.1248,19108
20030804,1.1268,1.1361,1.1247,1.1339,47254
20030805,1.1345,1.1391,1.1288,1.1335,23913
20030806,1.1378,1.1413,1.1312,1.1332,24431
20030807,1.1325,1.1405,1.1308,1.1357,22508
20030808,1.1365,1.1369,1.127,1.1282,26428
20030811,1.1292,1.1369,1.1254,1.1349,22218
20030812,1.135,1.1364,1.1265,1.1299,30265
20030813,1.1263,1.1321,1.121,1.13,54775
20030814,1.1304,1.1332,1.1217,1.1237,8831
20030815,1.127,1.1279,1.1233,1.1242,23690
20030818,1.1257,1.126,1.1116,1.1142,36161
20030819,1.1138,1.1142,1.1042,1.1136,22044
20030820,1.1137,1.1139,1.1073,1.1113,75172
20030821,1.1104,1.1113,1.0876,1.092,29766
20030822,1.0914,1.0941,1.083,1.0878,23841
20030825,1.0852,1.0913,1.084,1.0875,62286
20030826,1.0857,1.0903,1.0786,1.0878,22331
20030827,1.0852,1.0925,1.0827,1.0876,32996
20030828,1.0873,1.0909,1.0807,1.0863,24192
20030829,1.0883,1.0994,1.0868,1.0966,30963
20030902,1.0957,1.1011,1.0801,1.082,37129
20030903,1.0806,1.0868,1.0759,1.0838,66205
20030904,1.0845,1.0946,1.0805,1.0922,106084
20030905,1.0943,1.1111,1.0911,1.1103,15059
20030908,1.1094,1.1127,1.1045,1.1093,27557
20030909,1.1069,1.1238,1.1055,1.1222,10487
20030910,1.123,1.1236,1.1162,1.1211,19494
20030911,1.1205,1.1273,1.1155,1.1199,23694
20030912,1.1173,1.1296,1.1106,1.1257,19679
20030915,1.1228,1.128,1.1216,1.1272,26629
20030916,1.1258,1.129,1.1128,1.1144,35119
20030917,1.1149,1.1272,1.1112,1.1271,72330
20030918,1.1256,1.1317,1.12,1.1215,31466
20030919,1.122,1.1356,1.1212,1.1328,1
20030922,1.1352,1.1478,1.1352,1.1457,33405
20030923,1.1435,1.15,1.1411,1.1439,28134
20030924,1.1422,1.1478,1.14,1.1458,24694
20030925,1.1469,1.1511,1.1433,1.146,28402
20030926,1.1462,1.1475,1.1413,1.1445,19112
20030929,1.143,1.1578,1.1372,1.156,43813
20030930,1.1588,1.1714,1.1549,1.162,41117
20031001,1.1639,1.1707,1.1621,1.1687,25486
20031002,1.1704,1.1746,1.1639,1.1667,31749
20031003,1.1666,1.1699,1.1529,1.1537,40479
20031006,1.1549,1.1699,1.151,1.1677,28649
20031007,1.1688,1.1791,1.1676,1.175,38670
20031008,1.1749,1.1817,1.1743,1.178,32864
20031009,1.1796,1.184,1.1663,1.1719,42906
20031010,1.1725,1.1829,1.1683,1.1784,1
20031014,1.1691,1.1747,1.1562,1.1715,52071
20031015,1.1713,1.1725,1.157,1.163,35668
20031016,1.1599,1.1677,1.1552,1.1584,38194
20031017,1.1578,1.1666,1.1528,1.1634,41308
20031020,1.1676,1.1688,1.1583,1.1641,31429
20031021,1.161,1.1682,1.16,1.1633,27502
20031022,1.1651,1.1809,1.1633,1.179,37773
20031023,1.1788,1.183,1.174,1.1767,29935
20031024,1.178,1.1842,1.1746,1.1797,28313
20031027,1.1757,1.1767,1.1704,1.1726,28202
20031028,1.172,1.1728,1.1642,1.1669,29915
20031029,1.1659,1.1706,1.1645,1.1657,28036
20031030,1.1651,1.1743,1.1604,1.1616,46598
20031031,1.1611,1.1643,1.1551,1.1559,32630
20031103,1.1564,1.1607,1.1414,1.1447,43194
20031104,1.145,1.1499,1.1416,1.1482,27545
20031105,1.1482,1.1485,1.14,1.1427,40589
20031106,1.1428,1.1454,1.1372,1.1401,31681
20031107,1.1401,1.1533,1.1365,1.152,45848
20031110,1.1494,1.1524,1.1455,1.1481,24827
20031111,1.1459,1.1519,1.1435,1.1481,17520
20031112,1.1501,1.1652,1.1495,1.1621,41071
20031113,1.1621,1.1731,1.162,1.1721,42130
20031114,1.1723,1.1795,1.172,1.1759,40368
20031117,1.1813,1.184,1.1718,1.1757,36266
20031118,1.1742,1.1969,1.1726,1.1944,56693
20031119,1.1954,1.197,1.1865,1.1875,47447
20031120,1.1882,1.1963,1.1875,1.1903,40925
20031121,1.1903,1.1933,1.1851,1.1909,25229
20031124,1.1901,1.191,1.1753,1.1762,33975
20031125,1.1765,1.1814,1.1747,1.1778,34063
20031126,1.1787,1.1943,1.1764,1.1916,1
20031128,1.1906,1.201,1.188,1.1984,25922
20031201,1.1991,1.2037,1.1932,1.1968,38361
20031202,1.1966,1.2087,1.1939,1.2077,47517
20031203,1.2099,1.2126,1.2061,1.2097,27638
20031204,1.211,1.2157,1.2025,1.2097,53401
20031205,1.2081,1.2174,1.2062,1.2162,46999
20031208,1.2162,1.2237,1.2145,1.2219,29256
20031209,1.223,1.2274,1.2185,1.2236,21551
20031210,1.2249,1.2266,1.2152,1.2217,15135
20031211,1.2217,1.2233,1.2114,1.2215,13073
20031212,1.2194,1.2276,1.2178,1.2263,37226
20031215,1.2125,1.2294,1.2115,1.2269,48404
20031216,1.2283,1.233,1.227,1.23,39850
20031217,1.2301,1.2394,1.2266,1.237,45132
20031218,1.2372,1.241,1.2331,1.2396,38619
20031219,1.2394,1.2404,1.2314,1.2358,34053
20031222,1.2335,1.2419,1.232,1.2379,24791
20031223,1.2375,1.24,1.2358,1.2364,17337
20031224,1.2373,1.2444,1.2369,1.2426,14790
20031226,1.2422,1.2436,1.24,1.2408,3685
20031229,1.2404,1.2484,1.24,1.2464,19368
20031230,1.2462,1.2535,1.2453,1.2519,23090
20031231,1.2524,1.2623,1.2489,1.2534,26939
20040102,1.2583,1.2595,1.2538,1.2576,20737
20040105,1.2607,1.2672,1.2601,1.265,29612
20040106,1.265,1.2788,1.2644,1.2737,58599
20040107,1.2705,1.2719,1.2603,1.2622,52534
20040108,1.2606,1.2758,1.2537,1.2739,70569
20040109,1.2749,1.2847,1.2679,1.2818,55719
20040112,1.2827,1.2875,1.2711,1.2729,48419
20040113,1.2716,1.2775,1.2688,1.2728,51565
20040114,1.2746,1.2766,1.2608,1.2646,63395
20040115,1.2627,1.2653,1.2541,1.2558,54175
20040116,1.2562,1.2588,1.2332,1.2357,1
20040120,1.2341,1.2578,1.2315,1.2546,63746
20040121,1.2574,1.2655,1.2531,1.2611,57456
20040122,1.2615,1.2734,1.2615,1.269,57123
20040123,1.271,1.2758,1.2546,1.258,58500
20040126,1.2564,1.2597,1.244,1.2453,60639
20040127,1.2445,1.2639,1.2422,1.2613,62431
20040128,1.2624,1.2629,1.2446,1.2494,78429
20040129,1.241,1.252,1.2347,1.2387,69473
20040130,1.2392,1.2479,1.2335,1.2448,65277
20040202,1.2471,1.2472,1.2375,1.2394,39443
20040203,1.2425,1.2585,1.2401,1.2533,57926
20040204,1.2532,1.2565,1.2462,1.252,44056
20040205,1.2527,1.2625,1.2507,1.2525,49711
20040206,1.2542,1.2714,1.25,1.268,70387
20040209,1.2615,1.275,1.2612,1.2674,66414
20040210,1.2686,1.2777,1.2655,1.2694,53186
20040211,1.2669,1.2825,1.2623,1.2799,68209
20040212,1.2831,1.2837,1.2776,1.2783,52200
20040213,1.2808,1.2886,1.2705,1.2725,1
20040217,1.2756,1.2868,1.2708,1.2828,61603
20040218,1.284,1.2919,1.2652,1.2696,81733
20040219,1.269,1.2728,1.2639,1.2692,64879
20040220,1.2727,1.276,1.2487,1.2507,75069
20040223,1.2507,1.2589,1.2442,1.2531,60478
20040224,1.2555,1.2707,1.2517,1.268,64704
20040225,1.2676,1.27,1.2469,1.2488,66505
20040226,1.2491,1.251,1.2377,1.2432,77765
20040227,1.243,1.2505,1.2365,1.2489,63264
20040301,1.249,1.2536,1.242,1.2441,49763
20040302,1.2457,1.2458,1.219,1.2225,94913
20040303,1.2211,1.2215,1.2052,1.219,85241
20040304,1.219,1.2239,1.213,1.219,75338
20040305,1.2189,1.2432,1.2161,1.2371,78544
20040308,1.2379,1.2418,1.2336,1.2389,39023
20040309,1.24,1.2456,1.2273,1.2348,26249
20040310,1.231,1.235,1.2194,1.2231,15684
20040311,1.2223,1.2385,1.2164,1.2316,12529
20040312,1.2317,1.2329,1.2143,1.2192,54410
20040315,1.2186,1.2288,1.2176,1.2232,47890
20040316,1.2236,1.2343,1.22,1.2237,53116
20040317,1.224,1.226,1.2146,1.2212,55644
20040318,1.2205,1.2401,1.2193,1.2346,71620
20040319,1.2359,1.238,1.2228,1.2249,49025
20040322,1.225,1.2375,1.2195,1.2306,42278
20040323,1.2318,1.2343,1.2238,1.2295,47349
20040324,1.2324,1.2349,1.2092,1.2102,69664
20040325,1.2095,1.2178,1.2072,1.211,43801
20040326,1.2096,1.2187,1.2046,1.2092,52034
20040329,1.2105,1.2147,1.2025,1.2118,36524
20040330,1.2139,1.2209,1.2127,1.215,36249
20040331,1.2156,1.23,1.2149,1.228,54028
20040401,1.2289,1.2366,1.2231,1.2327,57720
20040402,1.2339,1.2345,1.2077,1.2111,57628
20040405,1.2088,1.2106,1.1962,1.1989,63282
20040406,1.1989,1.211,1.1959,1.2072,46661
20040407,1.2119,1.2193,1.2029,1.2155,63117
20040408,1.215,1.2198,1.2041,1.2056,52234
20040412,1.2059,1.208,1.2031,1.205,12798
20040413,1.2057,1.2062,1.1885,1.1923,47518
20040414,1.1917,1.1952,1.1848,1.1939,60735
20040415,1.1935,1.1974,1.186,1.196,58222
20040416,1.1962,1.2029,1.1902,1.1971,54756
20040419,1.2,1.2063,1.1982,1.1997,37461
20040420,1.199,1.1993,1.1823,1.1889,56782
20040421,1.1832,1.19,1.1797,1.1817,60703
20040422,1.1817,1.1898,1.1764,1.1875,56285
