Date,Open,High,Low,Close,Volume
20250102,1.1113,1.1152,1.1032,1.1035,32932
20250103,1.1049,1.1099,1.1044,1.1087,26592
20250106,1.1081,1.1187,1.1068,1.1142,36154
20250107,1.1139,1.1168,1.1075,1.1091,27833
20250108,1.1083,1.1087,1.1037,1.1051,24841
20250109,1.1055,1.1071,1.1031,1.1036,26610
20250110,1.104,1.1049,1.096,1.0981,25166
20250113,1.099,1.1,1.0943,1.0957,24524
20250114,1.0988,1.1039,1.0976,1.1032,25903
20250115,1.1034,1.1091,1.1007,1.1031,25632
20250116,1.1032,1.1059,1.1015,1.1048,23566
20250117,1.1045,1.1063,1.0994,1.0999,22314
20250121,1.1005,1.1115,1.0994,1.1098,53606
20250122,1.1109,1.1137,1.1085,1.1103,21282
20250123,1.1097,1.1104,1.1041,1.1091,25378
20250124,1.1081,1.1139,1.1078,1.1099,35564
20250127,1.1104,1.1215,1.1081,1.1155,43944
20250128,1.1146,1.115,1.1083,1.1122,26135
20250129,1.1118,1.113,1.1052,1.108,30542
20250130,1.108,1.1093,1.1038,1.106,31273
20250131,1.1043,1.1076,1.1022,1.1035,40903
20250203,1.0991,1.105,1.0923,1.1006,56463
20250204,1.1038,1.1111,1.1002,1.1101,35559
20250205,1.1096,1.1159,1.1088,1.1148,24364
20250206,1.1143,1.1147,1.108,1.1094,26914
20250207,1.1097,1.1099,1.1026,1.1043,35922
20250210,1.1024,1.104,1.1005,1.1014,18037
20250211,1.1013,1.1018,1.0982,1.0991,18552
20250212,1.0991,1.1026,1.0962,1.0989,33079
20250213,1.0987,1.1112,1.0976,1.11,38787
20250214,1.1109,1.1181,1.1087,1.1165,27778
20250218,1.1151,1.1156,1.1093,1.11,38343
20250219,1.11,1.1114,1.1076,1.1096,21392
20250220,1.109,1.117,1.1082,1.1169,20746
20250221,1.1164,1.1178,1.1131,1.1173,22187
20250224,1.1174,1.1194,1.1139,1.1179,20193
20250225,1.1173,1.1245,1.1163,1.1228,26626
20250226,1.1228,1.1238,1.1178,1.1212,22099
20250227,1.1202,1.1207,1.1124,1.1136,25475
20250228,1.1131,1.1151,1.1085,1.1086,31347
20250303,1.1095,1.1178,1.109,1.1159,29882
20250304,1.1173,1.1288,1.1163,1.1264,48998
20250305,1.1262,1.1307,1.1233,1.1245,46401
20250306,1.1241,1.1343,1.1215,1.1341,62890
20250307,1.133,1.1417,1.1327,1.1375,45652
20250310,1.1378,1.1426,1.1344,1.1357,42795
20250311,1.1357,1.1406,1.1325,1.1342,49076
20250312,1.1338,1.1372,1.1303,1.1341,55717
20250313,1.1345,1.1362,1.1296,1.1326,62824
20250314,1.1464,1.1465,1.1402,1.1419,27631
20250317,1.1419,1.1486,1.1414,1.1478,20481
20250318,1.1476,1.1537,1.1459,1.1529,21206
20250319,1.1529,1.1531,1.1469,1.1513,24899
20250320,1.151,1.1536,1.1424,1.1454,38738
20250321,1.1457,1.1483,1.1425,1.1439,23250
20250324,1.1439,1.1477,1.1417,1.1435,19248
20250325,1.1435,1.1475,1.1413,1.1444,21047
20250326,1.1444,1.1444,1.1408,1.1414,20124
20250327,1.1419,1.1466,1.1407,1.1438,28272
20250328,1.1448,1.1469,1.1423,1.1444,21073
20250331,1.1457,1.1493,1.1395,1.1407,28979
20250401,1.141,1.1443,1.1409,1.1414,20045
20250402,1.1418,1.1447,1.14,1.1433,22185
20250403,1.1435,1.1799,1.1432,1.1712,78969
20250404,1.1739,1.1895,1.169,1.1721,77348
20250407,1.1781,1.1931,1.1624,1.1768,65418
20250408,1.1725,1.1922,1.1711,1.1888,45495
20250409,1.1878,1.2059,1.1746,1.1794,62241
20250410,1.1754,1.2243,1.1753,1.2228,57900
20250411,1.2234,1.2443,1.2203,1.2337,81525
20250414,1.2335,1.241,1.2187,1.238,46206
20250415,1.2364,1.2388,1.2228,1.2253,27692
20250416,1.2234,1.2398,1.2232,1.2368,39589
20250417,1.2381,1.2387,1.2231,1.2298,28619
20250421,1.232,1.2525,1.2315,1.2473,24414
20250422,1.2453,1.2479,1.2289,1.2295,40108
20250423,1.2204,1.2278,1.2109,1.2131,54454
20250424,1.2126,1.2211,1.2119,1.2151,28431
20250425,1.2158,1.2169,1.2069,1.2164,31213
20250428,1.2153,1.2271,1.2092,1.2254,29314
20250429,1.2259,1.2263,1.2169,1.2201,24534
20250430,1.2207,1.2239,1.2151,1.2217,27337
20250501,1.2164,1.2179,1.2064,1.2089,20114
20250502,1.2114,1.225,1.2084,1.2152,26305
20250505,1.2171,1.2235,1.2145,1.2213,17985
20250506,1.2228,1.2235,1.2158,1.223,21907
20250507,1.2228,1.2276,1.2147,1.224,25224
20250508,1.2189,1.2213,1.2054,1.2085,27061
20250509,1.2076,1.2145,1.2041,1.2085,17292
20250512,1.2047,1.2053,1.1846,1.1872,37310
20250513,1.1872,1.1971,1.1872,1.1945,18750
20250514,1.1964,1.2059,1.1901,1.1916,22810
20250515,1.1924,1.2024,1.1917,1.2,16760
20250516,1.2005,1.2052,1.1944,1.1959,17141
20250519,1.1989,1.2065,1.198,1.2019,20320
20250520,1.2019,1.2112,1.1994,1.2089,19756
20250521,1.2109,1.2219,1.2106,1.2157,27843
20250522,1.2159,1.2176,1.2069,1.2091,20537
20250523,1.2095,1.2221,1.2095,1.2214,23394
