symbol,strategy,signal_date,status,entry_price,stop_price,target_price,entry_date,exit_date
XLB,Daily ETF Options Buy,01/17/25,Signal Date Missing in Data,,,,,
XLE,Daily ETF Options Buy,01/17/25,Signal Date Missing in Data,,,,,
QQQ,Daily ETF Options Buy,01/17/25,Signal Date Missing in Data,,,,,
XLB,Weekly ETF Options Buy,01/17/25,Signal Date Missing in Data,,,,,
XLE,Weekly ETF Options Buy,01/17/25,Signal Date Missing in Data,,,,,
QQQ,Weekly ETF Options Buy,01/17/25,Signal Date Missing in Data,,,,,
IBB,Daily ETF Options Buy,01/24/25,Signal Date Missing in Data,,,,,
EWG,Daily ETF Options Buy,01/24/25,Signal Date Missing in Data,,,,,
IBB,Weekly ETF Options Buy,01/24/25,Signal Date Missing in Data,,,,,
EWG,Weekly ETF Options Buy,01/24/25,Signal Date Missing in Data,,,,,
UNG,Daily ETF Options Sell,01/27/25,Signal Date Missing in Data,,,,,
USO,Daily ETF Options Sell,01/27/25,Signal Date Missing in Data,,,,,
UNG,Weekly ETF Options Sell,01/27/25,Signal Date Missing in Data,,,,,
USO,Weekly ETF Options Sell,01/27/25,Signal Date Missing in Data,,,,,
GDX,Daily ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
IYR,Daily ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
VNQ,Daily ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
XOP,Daily ETF Options Sell,01/31/25,Signal Date Missing in Data,,,,,
XLE,Daily ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
XLI,Daily ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
DIA,Daily ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
GLD,Daily ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
GDX,Weekly ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
IYR,Weekly ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
VNQ,Weekly ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
XOP,Weekly ETF Options Sell,01/31/25,Signal Date Missing in Data,,,,,
XLE,Weekly ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
XLI,Weekly ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
DIA,Weekly ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
GLD,Weekly ETF Options Buy,01/31/25,Signal Date Missing in Data,,,,,
EWH,Daily ETF Options Buy,02/07/25,Signal Date Missing in Data,,,,,
SLV,Daily ETF Options Buy,02/07/25,Signal Date Missing in Data,,,,,
XHB,Daily ETF Options Buy,02/07/25,Signal Date Missing in Data,,,,,
EWH,Weekly ETF Options Buy,02/07/25,Signal Date Missing in Data,,,,,
SLV,Weekly ETF Options Buy,02/07/25,Signal Date Missing in Data,,,,,
XHB,Weekly ETF Options Buy,02/07/25,Signal Date Missing in Data,,,,,
EEM,Daily ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
EWH,Daily ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
FXI,Daily ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
EFA,Daily ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
GDX,Daily ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
XLV,Daily ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
USO,Daily ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
EEM,Weekly ETF Options Buy,02/14/25,Signal Date Missing in Data,,,,,
