symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open
XLV,Donchian T-Lines Buy/Sell,buy,84%,11/03/25,Target Hit,01/16/26,ATR5 x 1.0,1.6075,143.77,145.38,156.82,13.049999999999983,2025-11-04,2025-11-05,1
QQQ,ETF Squeeze Sell,sell,85%,11/04/25,Target Hit,01/16/26,ATR5 x 1.0,9.277,618.49,609.21,608.81,9.680000000000064,2025-11-05,2025-11-07,2
SPY,ETF Squeeze Sell,sell,84%,11/04/25,Target Hit,01/16/26,ATR5 x 1.0,7.0177,674.98,667.96,689.43,-14.449999999999932,2025-11-05,2025-11-07,2
VWO,ETF Squeeze Sell,sell,90%,11/04/25,Target Hit,01/16/26,ATR5 x 1.0,0.5496,54.52,53.97,58.53,-4.009999999999998,2025-11-05,2025-11-07,2
XLI,ETF Squeeze Sell,sell,88%,11/04/25,Target Hit,01/16/26,ATR5 x 1.0,2.035,152.21,150.17,177.23,-25.019999999999982,2025-11-05,2025-11-17,8
FXI,Donchian T-Lines Buy/Sell,sell,84%,11/07/25,Target Hit,01/16/26,ATR5 x 1.0,0.6131,40.585,39.97,38.81,1.7749999999999986,2025-11-10,2025-11-14,4
XOP,Weekly 10.5 Squeeze Buy,buy,100%,11/07/25,Target Hit,01/16/26,Weekly ATR5 x 0.55,3.73,130.55,134.28,151.86,21.310000000000002,2025-11-10,2025-11-11,1
QQQ,Gap and Go Put/Call Buy (Setup 6),buy,93%,11/10/25,Expired,01/16/26,ATR5 x 1.0,11.4168,620.57,631.99,608.81,-11.760000000000105,2025-11-11,2026-01-16,45
XLK,Gap and Go Put/Call Buy (Setup 6),buy,92%,11/10/25,Expired,01/16/26,ATR5 x 1.0,3.1969,146.79,149.99,140.88,-5.909999999999997,2025-11-11,2026-01-16,45
XLE,Donchian Crossover Buy,buy,93%,11/10/25,Target Hit,01/16/26,ATR5 x 1.0,0.7666,45.445,46.21,54.88,9.435000000000002,2025-11-11,2025-12-05,17
GDX,Donchian Hook Buy,buy,87%,11/10/25,Target Hit,01/16/26,ATR5 x 1.0,2.7448,76.535,79.28,106.26,29.72500000000001,2025-11-11,2025-11-12,1
