symbol,strategy,direction,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open,win_rate
6C,Swing Trend Currency Futures Sell,sell,11/03/25,Target Hit,,ATR5 x 0.6,,0.7135,0.7119,0.7187,0.7348,-0.021299999999999986,2025-11-04,2025-11-05,1,78%
6B,Super Bull Currency Futures Buy,buy,11/07/25,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.3189,1.32332,1.3031,1.3614,0.04249999999999998,,,Expired,72%
6C,TXD Trendlines Currency Futures Buy,buy,11/12/25,Expired - Entry Not Triggered,,ATR5 x 0.6,,0.72,0.7213,0.7164,0.7348,0.014800000000000035,,,Expired,84%
6S,D2 Swing Currency Futures Sell,sell,11/21/25,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.2492,1.24443,1.2613,1.3021,-0.05289999999999995,,,Expired,85%
RTY,T-Lines Index Futures Buy,buy,11/26/25,Target Hit,,ATR5 x 0.6,,2510.8,2545.62042,2429.55236,2615.4,104.59999999999991,2025-11-28,2025-12-04,4,80%
NQ,D3 Index Futures Buy,buy,11/26/25,Target Hit,,ATR5 x 0.6,,25631.5,25980.68321,24816.73919,24743.75,-887.75,2025-11-28,2025-12-05,5,84%
6C,Ichimoku Cross Currency Futures Buy,buy,12/02/25,Target Hit,,ATR5 x 0.6,,0.7209,0.72259,0.7161,0.7348,0.013900000000000023,2025-12-03,2025-12-05,2,
6B,TXD Trendlines Currency Futures Buy,buy,12/03/25,Target Hit,,ATR5 x 0.6,,1.3366,1.34182,1.3169,1.3614,0.024799999999999933,2025-12-04,2025-12-11,5,82%
6E,Stochastics ÒDÓ Currency Futures Buy,buy,12/10/25,Target Hit,,ATR5 x 0.6,,1.1771,1.18032,1.1657,1.1875,0.010399999999999965,2025-12-11,2025-12-15,2,97%
6E,Squeeze Play Currency Futures Buy,buy,12/10/25,Target Hit,,ATR5 x 0.6,,1.1771,1.18032,1.1668,1.1875,0.010399999999999965,2025-12-11,2025-12-15,2,86%
6B,TXD Trendlines Currency Futures Buy,buy,01/12/26,Stopped out,,ATR5 x 0.6,,1.35,1.35471,1.3355,1.3614,0.011399999999999855,2026-01-13,2026-01-20,4,82%
6A,TNT 52 Currency Futures Sell,sell,01/14/26,Expired - Entry Not Triggered,,ATR5 x 0.6,,0.6664,0.66391,0.6738,0.706,-0.03959999999999997,,,Expired,90%
