date,symbol,strategy,buy or sell,frequency
1/17/25,XLB,10.5 Sqz,Buy,Daily
1/17/25,XLE,10.5 Sqz,Buy,Daily
1/17/25,QQQ,Turbo Hook,Buy,Daily
1/17/25,XLB,10.5 Sqz,Buy,Weekly
1/17/25,XLE,10.5 Sqz,Buy,Weekly
1/17/25,QQQ,Turbo Hook,Buy,Weekly
1/24/25,IBB,10.5 Sqz,Buy,Daily
1/24/25,EWG,Swing Trend 2,Buy,Daily
1/24/25,IBB,10.5 Sqz,Buy,Weekly
1/24/25,EWG,Swing Trend 2,Buy,Weekly
1/27/25,UNG,Ichimoku Sqz,Sell,Daily
1/27/25,USO,Ichimoku Sqz,Sell,Daily
1/27/25,UNG,Ichimoku Sqz,Sell,Weekly
1/27/25,USO,Ichimoku Sqz,Sell,Weekly
1/31/25,GDX,10.5 Sqz,Buy,Daily
1/31/25,IYR,10.5 Sqz,Buy,Daily
1/31/25,VNQ,10.5 Sqz,Buy,Daily
1/31/25,XOP,Swing,Sell,Daily
1/31/25,XLE,Swing Trend 1,Buy,Daily
1/31/25,XLI,Swing Trend 1,Buy,Daily
1/31/25,DIA,Swing Trend 2,Buy,Daily
1/31/25,GLD,Swing Trend 2,Buy,Daily
1/31/25,GDX,10.5 Sqz,Buy,Weekly
1/31/25,IYR,10.5 Sqz,Buy,Weekly
1/31/25,VNQ,10.5 Sqz,Buy,Weekly
1/31/25,XOP,Swing,Sell,Weekly
1/31/25,XLE,Swing Trend 1,Buy,Weekly
1/31/25,XLI,Swing Trend 1,Buy,Weekly
1/31/25,DIA,Swing Trend 2,Buy,Weekly
1/31/25,GLD,Swing Trend 2,Buy,Weekly
2/7/25,EWH,Swing Trend 1,Buy,Daily
2/7/25,SLV,Swing Trend 1,Buy,Daily
2/7/25,XHB,Swing Trend 1,Buy,Daily
2/7/25,EWH,Swing Trend 1,Buy,Weekly
2/7/25,SLV,Swing Trend 1,Buy,Weekly
2/7/25,XHB,Swing Trend 1,Buy,Weekly
2/14/25,EEM,10.5 Sqz,Buy,Daily
2/14/25,EWH,10.5 Sqz,Buy,Daily
2/14/25,FXI,10.5 Sqz,Buy,Daily
2/14/25,EFA,Swing Trend 2,Buy,Daily
2/14/25,GDX,Swing Trend 2,Buy,Daily
2/14/25,XLV,Swing Trend 2,Buy,Daily
