symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open,timeframe,scan_date,donchian_14_d.mean,donchian_14_d.mean_prev,sma_40_d.value,atr_5_d.value,ttm_squeeze_d.momentum,ttm_squeeze_d.momentum_prev,bb_30_20_d.upper,swing_trend_w.color,swing_trend_w.color_prev,atr_5_w.value,cci_14_6_w.cci_short,cci_14_6_w.cci_long,sma_40_w.value,rsqueeze_atr14_w.momentum,rsqueeze_atr14_w.momentum_prev,supertrend_5_023_w.direction,trig_20_8_w.plot1,trig_20_8_w.plot2,trig_20_8_d.plot1,trig_20_8_d.plot2,rsqueeze_4_d.momentum,rsqueeze_20_d.momentum,ichimoku_9_26_52_d.kijun,ichimoku_9_26_52_d.kijun_prev,ichimoku_9_26_52_d.kijun_decrease_count
EWH,Donchian Hook Buy,buy,83%,2026-01-15,Target Hit,03/20/26,ATR5 x 1.0,0.2694,22.62,22.89,n/a,23.15,0.53,2026-01-16,2026-01-26,5,daily,2026-01-15,22.01,21.855,21.9328,0.2694,,,,,,,,,,,,,,,,,,,,,
FXI,ETF Squeeze Sell,sell,89%,2026-01-15,Target Hit,03/20/26,ATR5 x 1.0,0.6102,39.53,38.92,n/a,38.33,1.2,2026-01-16,2026-01-20,1,daily,2026-01-15,,,,0.6102,1.0721,1.0892,40.5487,,,,,,,,,,,,,,,,,,
USO,ETF Squeeze Sell,sell,86%,2026-01-15,Open,03/20/26,ATR5 x 1.0,2.0466,72.3,70.25,n/a,76.22,-3.92,2026-01-16,,open,daily,2026-01-15,,,,2.0466,1.9231,2.2441,73.0376,,,,,,,,,,,,,,,,,,
IYR,Weekly 10.5 Squeeze Buy,buy,91%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.0538,96.76,97.89,n/a,100.22,3.46,2026-01-16,2026-01-16,0,weekly,2026-01-15,,,,,,,,,,2.0538,,,95.144,-1.9213,-2.1768,-1.0,,,,,,,,,
USO,Weekly 10.5 Squeeze Buy,buy,56%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,3.3493,72.3,74.14,n/a,76.22,3.92,2026-01-16,2026-01-27,6,weekly,2026-01-15,,,,,,,,,,3.3493,,,71.8605,-3.4564,-3.9905,-1.0,,,,,,,,,
VNQ,Weekly 10.5 Squeeze Buy,buy,96%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.8764,91.34,92.37,n/a,94.59,3.25,2026-01-16,2026-01-16,0,weekly,2026-01-15,,,,,,,,,,1.8764,,,89.7595,-1.9335,-2.1795,-1.0,,,,,,,,,
XHB,Weekly 10.5 Squeeze Buy,buy,93%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,5.3675,115.34,118.29,n/a,121.36,6.02,2026-01-16,2026-02-10,16,weekly,2026-01-15,,,,,,,,,,5.3675,,,104.3723,-4.4745,-6.276,-1.0,,,,,,,,,
EWG,Weekly Swing Trend Buy Setup 1,buy,78%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,0.9354,43.33,43.84,n/a,43.97,0.64,2026-01-16,2026-01-26,5,weekly,2026-01-15,,,,,,,,gold,gold,0.9354,,,,,,,,,,,,,,,
USO,Weekly Swing Trend Buy Setup 1,buy,76%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,3.3493,72.3,74.14,n/a,76.22,3.92,2026-01-16,2026-01-27,6,weekly,2026-01-15,,,,,,,,gold,gold,3.3493,,,,,,,,,,,,,,,
XHB,Weekly Swing Trend Buy Setup 1,buy,93%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,5.3675,115.34,118.29,n/a,121.36,6.02,2026-01-16,2026-02-10,16,weekly,2026-01-15,,,,,,,,gold,red,5.3675,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.4444,48.57,49.36,n/a,53.31,4.74,2026-01-16,2026-01-21,2,weekly,2026-01-15,,,,,,,,gold,red,1.4444,,,,,,,,,,,,,,,
XLK,Weekly Swing Trend Buy Setup 1,buy,86%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,4.9685,146.72,149.45,n/a,139.56,-7.16,2026-01-16,2026-01-28,7,weekly,2026-01-15,,,,,,,,gold,gold,4.9685,,,,,,,,,,,,,,,
IBB,Weekly Turbo Hook Buy,buy,84%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,6.9688,171.74,175.57,n/a,172.5,0.76,2026-01-16,2026-01-22,3,weekly,2026-01-15,,,,,,,,,,6.9688,101.486,79.1587,142.6602,,,,,,,,,,,,
IWM,Weekly Turbo Hook Buy,buy,79%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,9.0383,265.87,270.84,n/a,262.96,-2.91,2026-01-16,2026-01-22,3,weekly,2026-01-15,,,,,,,,,,9.0383,140.692,143.8626,227.8868,,,,,,,,,,,,
QQQ,Weekly Turbo Hook Buy,buy,86%,2026-01-15,Target Hit,03/20/26,Weekly ATR5 x 0.55,17.4098,625.5,635.08,n/a,601.92,-23.58,2026-01-16,2026-01-28,7,weekly,2026-01-15,,,,,,,,,,17.4098,83.0581,90.8828,566.6065,,,,,,,,,,,,
XRT,Weekly Turbo Hook Buy,buy,78%,2026-01-15,Open,03/20/26,Weekly ATR5 x 0.55,3.4231,90.75,92.63,n/a,87.84,-2.91,2026-01-16,,open,weekly,2026-01-15,,,,,,,,,,3.4231,135.1631,120.9791,80.6432,,,,,,,,,,,,
DIA,ETF Squeeze Sell,sell,82%,2026-01-16,Open,03/20/26,ATR5 x 1.0,4.5807,486.17,481.59,n/a,495.28,-9.11,2026-01-20,,open,daily,2026-01-16,,,,4.5807,6.1828,6.3148,497.4271,,,,,,,,,,,,,,,,,,
EEM,ETF Squeeze Sell,sell,83%,2026-01-16,Open,03/20/26,ATR5 x 1.0,0.5397,57.34,56.81,n/a,61.12,-3.77,2026-01-20,,open,daily,2026-01-16,,,,0.5397,2.599,2.7128,58.6312,,,,,,,,,,,,,,,,,,
EFA,ETF Squeeze Sell,sell,77%,2026-01-16,Open,03/20/26,ATR5 x 1.0,0.5771,98.0,97.42,n/a,104.24,-6.24,2026-01-20,,open,daily,2026-01-16,,,,0.5771,2.3594,2.3749,99.9233,,,,,,,,,,,,,,,,,,
EWH,ETF Squeeze Sell,sell,88%,2026-01-16,Open,03/20/26,ATR5 x 1.0,0.2945,22.39,22.1,n/a,23.15,-0.76,2026-01-20,,open,daily,2026-01-16,,,,0.2945,0.6812,0.7087,22.7485,,,,,,,,,,,,,,,,,,
VWO,ETF Squeeze Sell,sell,90%,2026-01-16,Open,03/20/26,ATR5 x 1.0,0.4928,55.63,55.14,n/a,57.75,-2.12,2026-01-20,,open,daily,2026-01-16,,,,0.4928,1.6145,1.6245,56.51,,,,,,,,,,,,,,,,,,
XOP,Weekly 10.5 Squeeze Buy,buy,100%,2026-01-16,Target Hit,03/20/26,Weekly ATR5 x 0.55,6.6146,131.59,135.23,n/a,147.89,16.3,2026-01-20,2026-01-21,1,weekly,2026-01-16,,,,,,,,,,6.6146,,,127.2792,-1.9252,-2.4949,-1.0,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-01-16,Target Hit,03/20/26,Weekly ATR5 x 0.55,17.0159,610.53,619.89,n/a,601.92,-8.61,2026-01-20,2026-01-21,1,weekly,2026-01-16,,,,,,,,gold,red,17.0159,,,,,,,,,,,,,,,
VWO,Weekly Swing Trend Buy Setup 2,buy,89%,2026-01-16,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.1943,55.63,56.29,n/a,57.75,2.12,2026-01-20,2026-01-21,1,weekly,2026-01-16,,,,,,,,,,1.1943,,,51.414,,,,54.9931,54.8925,,,,,,,
XHB,Weekly Swing Trend Buy Setup 2,buy,93%,2026-01-16,Target Hit,03/20/26,Weekly ATR5 x 0.55,5.128,112.35,115.17,n/a,121.36,9.01,2026-01-20,2026-01-21,1,weekly,2026-01-16,,,,,,,,,,5.128,,,104.9545,,,,106.0399,105.7055,,,,,,,
